Semantic field	Indonesian gloss	English gloss	Enggano (Brouwer early 1850s)	Enggano (Boewang 1854)	Enggano South? (v. Rosenberg 1855)	Enggano Northwest? (vd Straten & S. 1855)	Enggano North (Walland 1864)	Enggano (Francis 1870)	Enggano Northwest (v. Rosenberg 1878)	Enggano (Oudemans 1879)	Enggano (Helfrich 1888)	Enggano Kèfoe (Helfrich & Pieters 1891)	Enggano Barohia (Helfrich & Pieters 1891)	Enggano (Modigliani 1894)	Enggano Pulau Dua 1895 (Stockhof 1987)	Enggano (Helfrich 1916)	Enggano (Amran et al. 1979)	Enggano (Capell 1982)	Enggano (Nothofer 1986 ms.)	Enggano (Kähler 1987)	Enggano root (Kähler 1987)	Enggano Malakoni (Kasim et al. 1987)	Enggano Banjar Sari (Kasim et al. 1987)	Enggano Meok (Yoder 2011)	Pak Aron Elicitation 2019	Contemporary Enggano (Zakaria et al. 2023)	Contemporary Enggano root	Remarks	Number of Attestations	PAN etymon	PAN gloss	PAN source	PMP etymon	PMP gloss	PMP source	Etymological source	Remark on etymology
	dari	from										ĕĕkoedè	ĕĕkoedè		koelie					kude iʔiō									4								
	dari atas	from above													koelie tèbè														1								
	dari bawah	from below													koeli tŏfŏ														1								
	dari dalam	from inside										(i) kodè	(i) kodè																2								
	dari mana?	from where?						koelie ieje?				ĕĕkoedè ijaha	ĕĕkoedè ijaha																3								
	berbusa	frothy																						kaʔ-pix	ka'pih				2								
plants	buah	fruit										èhoewa	èhoewa	hua	èhoewa			hũã		ẽ-hũã		h'Eyu	h'Eyu	hĩũ	hĩũ			note1982: listed under 'give' in the wordlist, but translated as 'fruit' in the examples	10	*buaq	fruit	ACD	*buaq	fruit	ACD	Edwards 2015:97-98, Kähler 1987:85	irregular *b > /h/, which is otherwise not attested, but cf. e-pua (classifier)
plants	buah	fruit																		e-pua									1								
plants	buah-buahan	fruits																						ioʔoʔ					1								
	bersetubuh	fuck												pahorai															1								
	penuh	full (filled)										kifamĕ	kipamo	pamo	kifame, kipamo		kipame			kĩ-pã́õmõ		pēgipwan	pēgipwan	ki-pam	kipam			cf. fill	10								
human features	kenyang	full (sated)						hobelélé		hobelélé		kalèlè	kalèlè											ka-rer	karer				6								
	upacara pemakaman	funeral ceremony									maonè				paèmŏ														2								
food	jamuan pemakaman	funeral meal									apabai																		1								
	bulu hewan	fur																				pruru	pruru	ka-rer				cf. hair, feather	3								
	atap pelana	gable																ipũhã		ẽpũhã	[ẽ]pũhã							meaning 'above'?	2	?			*bubuŋ-an	roof; ridge of the roof	ACD	Edwards 2015:94-97	initial syllable possibly reinterpreted as a reduplicant and thereby deleted
plants	lengkuas	galangal									kenono																	meaning1888 'ginger, galangal'	1								
	menganga	gape												pauápo										ʔau	au				3								
	menganga	gape												poapo											kau				2								
	berjarak	gappy										hökĕnènak²	hökĕnènak²																2								
	kebun	garden	kwé-kwé			kwee kwee																							2								
	kebun	garden									èfia, pio	èfieĕ	èpieĕ		èfieĕ					e-pia				pi	epi			meaning1888 'field'_meaning1987K 'plant, garden, garden produce'	7	*biRaq	wild taro, Alocasia sp.		*biRaq	taro, Alocasia sp.	ACD	Edwards 2015:95	
	taman (setengah tua)	garden (half old)																		eabúa									1								
	berkumpul	gather															paruru			padudu, parudu, paruru:	padudu			parur	parur	parur	parur	meaning1979 'mutual help'_meaning2011&2019&2023 'celebration'	5								perhaps derived from dudu 'crumple, crush'
	mengumpulkan	gather										faboedajak²	paboedajak²															himpun	2								
	mengumpulkan	gather										fahafoeè	fahafoeè															kumpul	2								
	alat kelamin (perempuan)	genitalia (female)										èè	èè											ʔe	e				4								
	alat kelamin (perempuan)	genitalia (female)										kahèkoewĕ	kahèkoewĕ																2								
	alat kelamin (pria)	genitalia (male)										èfoeè	èfoeè											pu	pu				4								
	alat kelamin (pria)	genitalia (male)										èkèhoenè	èkèhoenè												pue				3								
	alat kelamin (pria)	genitalia (male)										èok²ok èfoeèniĕ	èok²ok èfoeèniĕ																2								
	dapatkan	get										pakohak²	pakohak²																2								
	dapatkan	get										pakok²ohak²	pakok²ohak²																2								
diseases	menjadi sakit	get sick												cabapuho anòca														cf. sick	1								
diseases	menjadi sakit	get sick									kabakatoa																		1								
	bangun (dari tidur)	get up (from sleep)												maénu															1								
other	hantu	ghost			koe-é						(è)kowèk, (è)koèk	èkowèk	èkowèk	ecoè	èkowèk [kaoeè], èkowèk [kiŏha], kowèk									koʔoeʔ	ko'e			meaning1891 'ghost, jinn'_meaning1888 'ghost, spirit, Malay/Batavia/Buginese person'_meaning1894 'stranger, devil, white European person'_meaning2011&2019 'devil'_note1895: second element unclear, maybe meaning 'forest'?	8								
animals	kima raksasa	giant clam (Tridacna gigas)																		e-(ʔ)amẽ̄									1				*kima	giant clam (Tridacna gigas)	ACD	Kähler 1987:13	marked with a question mark in Kähler, uncertain etymology
	birah	giant taro (Alocasia macrorrhizos									ababa			[calèac] bába						ebaba	[e]baba								3								
human objects	hadian	gift													kiaki-fèoeĕ														1								
	insang	gill																		e-ãkã									1	?			*hasaŋ	gills	ACD	Edwards 2015:94-97, Kähler 1987:10	Smith (2020:355) proposes *ãkãg as an intermediate stage
	jahe	ginger																						iaheʔ	yahe			loanword jahe	2								
people	gadis	girl	amimi		hamimi	amiemie									amiemie					amĩmĩ								cf. virgin_meaning<1855&1855vdS 'woman'	5								
people	gadis	girl													nŏwèk														1								
	memberi	give												peionia										ki-pe					2								
transfer	memberi	give			pahè		pléh					pè	pè					pe						pe	kipape				7								
	memberi	give										aboepè	aboepè		[wāhā]boepè		pe	bupe, pe		ki-pee				pa-pe				meaning1982 'good'	7	*bəRay	give	ACD	*bəRay	give	ACD	Edwards 2015:95	cf. Malay beri, Nias be'e (Lafeber 1922:23)
	memberi	give																						ki-pa-pe					1								
activities	melahirkan	give birth												omuino	kiŏmahoe, moemahoe					kimõ[ũ]	mõũ			ki-mɘ, mɘ	hėmė			note2011: first word means 'give birth', second word means 'be born'	5								
	menyerah	give up										aboepè	aboepè																2								
	menyerah	give up										pè	pè																2								
	muram	gloomy										kĕföfö	kĕpöpö															cf. fog, gloomy	2								
animals	agas-agas	gnat									koemakou	koemak²ou	koemak²ou	comau						e-kadopipi									5								
	Gnetum gnemon	Gnetum gnemon																						kõʔĩã	kõ'ĩyã			melinjo	2								
	pergi	go												uacahai						k-ahae				puak	kipuak				4	*aŋay	depature (?)	ACD	*aŋay	depature (?)	ACD	Zobel	The second 'a' in -ahae has spread from the preceding syllable
movement	pergi	go										ĕwah	ĕwah	uaha						aha			ʔa-uah	ʔa-uah	awah				7								
	pergi	go																		kā				kah					2								
	tersesat	go astray										kafiho	kapiho																2								
movement	pergi	go away												abuha puaca				bupa(ha)		kā									3								
	pergi	go away												uaha nooni															1								
requests	pergilah! (imperatif)	go away!						kaha																					1								
	duluan	go first																						ka-ruaʔ	ababaur				2								
	duluan	go first																							kibabaur				1								
movement	pulang ke rumah	go home												caha iubaha															1								
	pulang ke rumah	go home				kana		kahane			kanak, kahanĕ	kahanak²	kahanak²	oacahána														meaning1888 'go, return, go away'_note1894: literally means 'I'm going home'	6								
	pergi berburu	go hunting												uuaha puo còio															1								
	berburu gurita	go octopus hunting																						baʔ-he					1								
	berburu gurita	go octopus hunting																						kaʔ-he					1								
movement	pergi perlahan	go slowly												bacòcu parihòpi															1								
	pergi tidur	go to bed												uaha cabaùho															1								
feeling	kesemutan	go to sleep (of limb)														kĩpã-pãkõ				kĩpã-pãkõ									2	?			*pagəl	tired, exhausted	ACD	Edwards 2015:97-98	only instance of *g > /k/, dubious semantics, the PMP word is actually PWMP
	singkir	go to the side																						ʔẽ	nãpẽhã				2								
	pergi bersama-sama	go together																						ʔoneaʔ	pahraea				2								
movement	pergi ke hulu sungai	go upriver												caha ca belowa														cf. headwaters, estuary	1								
requests	pergilah! (imperatif)	go! (imperative)						hou!												aʔa									2								
	tuhan	God																						ʔamak	amak			Allah	2								
	emas	gold																						maix	emah			loanword mas	2								
human features	bagus	good					kha-oewah	kaoewa		kaoewe		kaoewĕ	kaoewa	cáua, caúa, abaua	kaoewe, kaoewa, kāoewa, kāoewŏ		kaue	kauwə		kaʔuʔua	ʔuʔua	kaquo	kaqu	ka-ʔu	ka'u	ka'o		meaning1870 'beautiful, nice'_meaning1879 'beautiful'_meaning1891 'good, delicious, skilled'_meaning1894 'good, beautiful'_meaning1982 'hair'_meaning1987K 'beautiful, healthy, successful, tasty, pleasant'_note1895: first word means 'good', second word means 'good, virtue', third word means 'nice, profit', fourth word means 'healthy'_note1894: first word means 'good', second word means 'happy', third word means 'good'_note1894: first word is the ki-form, the second is the bu-form	15								
human features	bagus	good													koina														1								
	selamat tinggal	goodbye												teeó										kaiteʔ					2								
	barang(-barang)	goods/thing	[moko-]dobo, [panoekoe-am]dobo			[moko] doeboe	[oebah-]dobah				odoboe	èloboe	èdoboe	dobu	dŏboe[kabandiăk]	èdoboe				edobu	[e]dobu			dɘb	edobu			meaning1855vdS 'wood'_meaning1864 'box'_meaning1888 'goods'_meaning1894 'things'_meaning1895 'merchandise'_meaning1916 'goods, wealth'_meaning1987K 'thing, goods, possession, gift, jewelry'_note<1855: first word means 'wood', second word means 'box'_note<1855: first element of the first word means 'many', the second element of the first word means 'goods'_note1855vdS: the first element means 'many', the second element means 'goods'_note1864: first element means 'chest', second element means 'goods'_note1895: first element means 'goods', second element unclear	12								
activities	mencungkil	gouge															kirkuk												1								
	merebut	grab										fahabiak²	pahabiak²																2								
	bulir	grain										èhoewĕ	èhoewĕ																2								
kinship	cucu	grandchild						koöfiejoe (emane/ehoda)		koöfijoe		naafoeakak²	naafoeakak²		na afoeaa(k)		na po a ah			ẽ-kõhõpĩõ		nāqpu	nāqpu						9								
kinship	kakek nenek	grandparent						oefoenai (emane/ehoda)		oefoenai		oefoenai	oefoenai		oefoenai		opunai											meaning1891 'grandfather'	6	?			*umpu / *əmpu-ŋ	ancestor	ACD / Smith 2020:359	Edwards 2015:94-97 / Smith 2020:359	cf. *ta-umpu > ẽ-kapu, semantic link via a folktale of a crocodile in Bakblau being the forefather of Enggano (Engga should check); Smith (2020:359) proposes a vocative suffix *-ŋ (cf. *ama-ŋ 'father')
kinship	kakek nenek	grandparent																		(ʔ)ũpũ				ʔũp	ũp			meaning2011 'grandmother'	3								
kinship	kakek nenek	grandparent													na(k) poenana													meaning1895 'grandmother'	1								
transfer	mengambil	grasp			dodoje-é							dödö	dödö		dŏdŏ			ki-dido̲do̲		kidodo	dodo	dēr	dēr	dɘr	kidėr	dėr	dėr	meaning1855vR 'take'_meaning1891 'hold'_meaning1895 'carry hanging in hands'_meaning1982 'it is grasped'_meaning1987K 'grasp, touch, possess, arrange'_meaning1987&2011&2019&2023 'hold'	11								
	rumput	grass												pucuma	akŏmā													meaning1895 'grass, weeds'	2								
	rumput	grass													ŏwahŏdā		eudaheudal			e-ʔoraha͜uda, e-ʔoaha͜əda, e-oaha͜uda				ʔadɘhɘr	adahėd	adahu̇d, arahu̇r		meaning1895 'grass, weeds'_meaning2023 'big grass'	6								
	rumput	grass													ijahŏmā													meaning1895 'grass, weeds'	1								
	belalang	grasshopper									kiapo				èkiafŏ									kĩʔĩãp	kĩ'yap				4								
	kuburan	grave										kofo	kopo											kõp	kõp				4								
	kuburan	grave													èamaha														1								
	makam	graveyard	hanoh			hano																							2								
	tergores	graze																						ʔa-piah	ka'piėp				2								
	tergores	graze																							kinonoyėp				1								
kinship	cicit	great-grandchild															kuieah												1								
kinship	buyut	great-grandparent																						kũʔĩ	kũ'ĩ				2								
	tamak	greedy																						karnomeh	kinononeh				2								
colours	hijau	green			kalaleja																								1								
colours	hijau	green										kaakinifa, kakanifah	kaakinifa, kakanifah		kakīnīfĕ	kaäkieniepa, kaäkieniefĕ, kaäkienafa				kaʔakinĩpã								meaning1895 'green, blue'_meaning1987K 'purple'_note1891: first word means 'green', second word means 'blue'_note1916: first two words mean 'green', third word means '(dark) blue'	5								second part perhaps related to ènafa 'field'
	menyapa	greet				jeo																							1								
	uban	grey hair																				koq'oyq	koq'oyq	kõʔõĩʔ	ko'oi				4								
activities	menggiling	grind													bakèkèk														1								
activities	menggiling	grind													èēja(k)														1								
activities	menggiling	grind													pakakak														1								
	batu gerinda	grinding stone												eea ia peigi														cf. stone	1								
	merogoh	grope										waoedöh	waoedöh															menggerayang	2								
	tumbuh (intr.)	grow (intr.)										kifoerika	kifoerika											purik	kipurik				4								
emotion	sakit hati	grudge												chipahua chidèida														Mod. 'rancore/hati kecil'	1								
	menggeram	grunt													kikèŏfa														1								
activities	menjaga	guard													kèaba baoeŏ													literal meaning 'not go'?	1								
	menjaga (v.)	guard (v.)										omo(kie)	omo(kie)		ŏmŏ(kie)													cf. wait	3								
	tamu	guest																		e-kitabo				ʔanɘk	anėk				3								
body parts	gusi	gums													kĕmoekā(k)														1								
	terjang	hack										kĕmonak²	kĕmonak²	ocaca cuo														Mod. 'mengiris kayu'	3								
body parts	rambut	hair	oedoe		boeloe oeloe	oedoe	poeroe-oeloe	foedoedoe-oeloe	puru-ulu	foedoedoe-oeloe		foeroeroei (èoeloe)	poeroeroei (èoedoe)	pruru ulu, pruru uru	poeroeroe (èoeloe), foeroeroe		purduyur			e-pududui		yur	yur	pururu	pururu			cf. feather, head_note1855vR&1864&1879&1894: literal meaning 'head hair'_note1895: first word literally means 'head hair'_note<1855&1855vdS: meaning 'head', most likely clipping of literal meaning 'head hair'	17	?			*bulu	body hair, fur	ACD	Edwards 2015:94-97	final /dui/ probably from e-dui ‘thorn, spike’ < *duRi, spelled pũnũ/pũrũ in Nothofer (1994:402), reconstructed Proto-Paleo-Hesperonesian *buluŋ 'leaf' (Nothofer 1994:402), cited Isneg buloŋ, Ilocano bulóŋ as cognates
body parts	rambut	hair													ijahŏmā													meaning1982 'knee'	1								
quantity	setengah	half										kahakoudĕ	kahakoudĕ	chidaho	kidahô													cf. middle	4								
quantity	setengah	half													kahakoudĕ														1								
tools	palu	hammer					pekah-kah																						1								
	tempat tidur gantung	hammock																						kemaha	kemaha kur kadi				2								
body parts	tangan	hand	poe-à-foh		afa, afo	poeafa		e afo	afa	[mieno] afo				[emino] apo	èafŏ		apeke	qapo		e-ʔapo		Eaq	Eaq	ʔeap				meaning1855vdS&1870 'arm'_meaning1982 'head'_note<1855&1855vdS: clipping of previous word with genitive_note1855vR: first word means 'hand', second word means 'foot'	14	?			*kapət	hold onto, cling to	ACD	Edwards 2015:94-97	The PMP word is actually PPh
